Title,Acronym,CORE2023,CORE2021,CORE2020,CORE2018,CORE2017,CORE2014,CORE2013,ERA2010,h5_index,h5_median
International Conference on Software Engineering Advances,ICSEA,C,C,C,C,C,C,C,C,45.0,62.0
International Conference on Software Engineering Theory and Practice,SETP,,,,C,C,C,C,C,,
International Conference on Software Engineering and Formal Methods,SEFM,B,B,B,B,B,B,B,B,16.0,20.0
International Conference on Software Engineering and Knowledge Engineering,SEKE,C,B,B,B,B,B,B,B,20.0,36.0
"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD,C,C,C,C,C,C,C,C,13.0,20.0
International Conference on Software Engineering: Education and Practice,SEEP,,,,B,B,B,B,,21.0,31.0
International Conference on Software Language Engineering,SLE,B,B,B,B,B,B,B,B,,
International Conference on Software Quality Management,SQM,C,C,C,C,C,C,C,C,,
International Conference on Software Reuse,ICSR,B,B,B,B,A,A,A,A,,
"International Conference on Software Testing, Verification and Validation",ICST,A,A,A,A,C,C,C,C,32.0,59.0
International Conference on Software and Data Technologies,ICSoft,C,B,B,B,B,B,B,B,,
International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,B,B,A,A,A,A,A,A,,
International Conference on Spoken Language Processing,ICSLP,,,,,,C,C,C,13.0,22.0
International Conference on Sustainable Energy Information Technology,SEIT,Unranked,Unranked,Unranked,Unranked,,,,,,
International Conference on Systems Engineering,ICSEng,C,C,C,C,C,C,C,C,27.0,38.0
"International Conference on Systems Research, Informatics and Cybernetics",ICSRIC,,,,C,C,C,C,C,,
International Conference on Systems Thinking in Management,STM,,,,C,C,C,C,C,,
International Conference on Technical Debt,TechDebt,B,NEW,,,,,,,,
International Conference on Technology Education,TE,,,,C,C,C,C,,,
International Conference on Technology and Business Management,ICTBM,,,,C,C,C,C,C,9.0,13.0
International Conference on Temporal Logic,ICTL,,,,A,A,A,A,A,,
International Conference on Testing Software and Systems,ICTSS,C,C,,,,,,,,
International Conference on Tests and Proofs,TAP,C,C,B,B,B,B,B,B,,
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,B,B,A,A,A,A,A,A,,
International Conference on Theoretical and Mathematical Foundations of Computer Science,TMFCS,,,,C,C,C,C,C,,
International Conference on Theoretical and Methodological Issues in machine Translation,TMI,,,,B,B,B,B,B,,
International Conference on Theory and Applications of Computational Science,TACS,,,,C,C,C,C,C,,
International Conference on Theory and Applications of Satisfiability Testing,SAT,A,A,A,A,A,A,A,A,21.0,29.0
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,B,B,B,B,A,A,A,,14.0,17.0
International Conference on Tools with Artificial Intelligence,ICTAI,B,B,B,B,B,B,B,B,28.0,38.0
International Conference on Trust Management,iTrust,,,,C,C,C,C,C,,
"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,B,B,B,B,B,B,B,B,,
"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,B,B,A,A,A,A,A,A,29.0,52.0
International Conference on Ubiquitous Intelligence and Computing,UIC,C,B,B,B,B,B,B,B,13.0,19.0
International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation),UC,C,C,C,C,C,C,C,C,,
"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,B,B,B,B,B,B,B,B,31.0,46.0
International Conference on VLSI Design,VLSID,National: India,National: India,National: India,C,C,C,C,C,14.0,17.0
International Conference on Vehicle Technology and Intelligent Transport Systems,VEHITS,C,C,,,,,,,16.0,18.0
International Conference on Very Large Databases,VLDB,A*,A*,A*,A*,A*,A*,A*,A,79.0,122.0
International Conference on Virtual Execution Environments,VEE,B,B,A,A,A,A,A,A,,
International Conference on Virtual Rehabilitation,ICVR,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,,,10.0,16.0
International Conference on Virtual Systems and MultiMedia,VSMM,,,B,B,B,B,B,B,,
International Conference on Vision Theory and Applications (Joined with GRAPP from 2008),VISAPP,,,,,,C,C,C,31.0,46.0
International Conference on Visual Information Systems,VISUAL,,,,C,C,C,C,C,,
International Conference on Web Engineering,ICWE,B,B,B,B,B,B,C,C,15.0,18.0
International Conference on Web Information Systems Engineering,WISE,B,B,A,A,A,A,A,A,18.0,25.0
International Conference on Web Information Systems and Technologies,WEBIST,C,C,C,C,C,C,C,C,14.0,20.0
International Conference on Web and Social Media,ICWSM,A,Unranked,Unranked,Unranked,Unranked,Unranked,,,56.0,88.0
International Conference on Web-Age Information Management,WAIM,,,,,C,C,C,C,,
International Conference on Web-based Modelling and Simulation,WebSim,,,,C,C,C,C,C,,
