Title,ERA Score
Australasian Conference on the Mechanics of Structures and Materials,B
Australasian Congress on Applied Mechanics,A
Australasian Database Conference ADC,B
Australasian Fluid Mechanics Conference,A
Australasian Housing Researchers Conference AHRC,A
Australasian Information Security Conference AISC,B
Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies) AISW-PET,C
Australasian Joint Conference on Artificial Intelligence AI,B
Australasian Port and Harbour Conference,A
Australasian Refinement Workshop AuRW,C
Australasian Remote Sensing Conference and Photogrammetry Conference ARSPC,C
"Australasian Road Safety Research, Policing and Education Conference",C
Australasian Speech Science and Technology SST,B
Australasian Symposium on Grid Computing and e-Research (now AusPDC) AusGrid,C
Australasian Symposium on Parallel and Distributed Computing (was AusGrid) AusPDC,C
Australasian Transport Research Forum ATRF,A
Australasian Urban and Regional Information Systems Association Conference AURISA,C
Australasian User Interface Conference AUIC,B
Australasian Wind Engineering Society Workshop in Wind Engineering,C
Australasian Women in Computing Workshop WIC,C
Australasian Workshop on Combinatorial Algorithms AWOCA,B
Australasian Workshop on Health Data and Knowledge Management HDKM,B
Australia New Zealand Geomechanics conference,B
Australia-Japan Joint Workshop on Intelligent and Evolutionary Systems AJWIES,C
Australian and New Zealand Academy of Management Conference ANZAM,C
Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference ANZAScA,B
Australian and New Zealand Association of Planning schools ANZAPS,B
Australian and New Zealand Intelligent Information Systems Conference ANZIIS,C
Australian and New Zealand Marketing Academy Conference ANZMAC,C
Australian Combustion Symposium,C
Australian Computer Human Interaction Conference OZCHI,B
Australian Conference for Knowledge Management and Intelligent Decision Support ACKMIDS,B
Australian Conference on Artificial Life ACAL,B
Australian Conference on Laser Diagnostics in Fluid Mechanics and Combustion,B
Australian Conference on Neural Networks ACNN,C
Australian Conference on Software Metrics ACOSM,C
Australian Data Mining Conference AusDM,B
Australian Digital Forensics Conference,B
Australian Earthquake Engineering Conference,B
Australian Game Developers Conference AGDC,C
Australian Geothermal Energy Conference,C
Australian Information Security Management Conference,B
Australian Information Warfare and Security Conference WarSec,C
Australian Institute of Building Surveyors International Refereed Conference AIBS,B
Australian Institute of Computer Ethics Conference AICE,C
Australian Knowledge Acquisition Workshop AKAW,C
Australian MADYMO Users Meeting MADYMO,C
Australian MATLAB Conference MATLAB,C
Australian Road Research Board Annual Conference,B
Australian Software Engineering Conference ASWEC,B
